Waypoint,TreeID,X_coord,Y_coord,Date,D60 ,Point1,Point2,Point3,Point4,Point5,Aspect,Coppice,Pix.mm,Notes
KRQUSIB005,QUSIB005,-99.40812,30.06532,7/10/2026,20.5,8.31,7.2,6.37,6.39,9.98,267W,,11.811,CONFUSED WITH LAXEYI
KRQUSIB007,QUSIB007,-99.4078,30.06867,7/10/2026,13,3.71,6.57,5.49,8.59,,253W,,11.811,
KRQUBU2028,QUBU2028,-99.40764,30.06837,7/10/2026,40.5,17.18,10.61,15.17,13.6,12.34,138SE,,11.811,
KRQULA013,QULA013,-99.40759,30.07032,7/10/2026,28,14.55,11.07,16.7,13.3,12.82,257SW,,11.811,
KRQULA014,QULA014,-99.40758,30.07062,7/10/2026,27.5,17.65,11.02,16.64,9.88,10.6,25NE,,11.811,
KRQULA015,QULA015,-99.41238,30.06967,7/10/2026,18,8.66,9.11,9.92,9.77,10.77,287W,,11.811,
BNDQULA004,QULA004,-99.31592,29.89491,5/24/2026,25.7,7.69,6.1,7.78,9.41,8.63,,,11.811,
BNDQUBU2002,QUBU2002,-99.31653,29.89563,5/24/2026,42,11.39,11.86,11.18,13.84,14.2,,,11.811,
BNDQUBU2003,QUBU2003,-99.31593,29.89718,5/24/2026,38,13.77,8.41,10.05,9.9,13.66,,,11.811,
BNDQULA006,QULA006,-99.31575,29.897,5/24/2026,45,19.09,13.38,14.51,12.89,13.24,,,11.811,
BNDQUBU2004,QUBU2004,-99.31563,29.8972,5/24/2026,35,43.5,12.34,20.33,12.71,17.4,,,11.811,
BNDQUBU2029,QUBU2029,-99.31107,29.89184,7/11/2026,37,7.96,6.34,17.69,14.25,11.67,303NW,,11.811,
BNDQULA016,QULA016,-99.3111,29.89175,7/11/2026,44,15.14,16,14.93,13.97,14.12,236SW,,11.811,
BNDQULA017,QULA017,-99.31231,29.89258,7/11/2026,29,14.17,10.51,10.27,14.3,16.09,2N,,11.811,
BNDQUBU2030,QUBU2030,-99.31258,29.8936,7/11/2026,43.5,14.48,18.13,17.39,17.75,19.83,56NE,,11.811,
BNDQUBU2031,QUBU2031,-99.31265,29.89432,7/11/2026,18.8,4.85,7.2,8.62,7.75,6.65,242SW,,11.811,
BNDQULA018,QULA018,-99.31422,29.89425,7/11/2026,50,14.01,14.63,18.69,18.8,16.02,359N,,11.811,
BNDQULA019,QULA019,-99.31455,29.89453,7/11/2026,33.5,13.4,16.13,13.37,13.86,15.34,357N,,11.811,
BNDQUSIB011,QUSIB011,-99.31561,29.89496,7/11/2026,24,7.3,6.06,6.22,6.15,7.07,123SE,,11.811,
BNDQUBU2038,QUBU2038,-99.31713,29.89656,8/8/2026,48,18.85,18.87,20.8,19.43,16.27,289W,,11.811,
BNDQULA026,QULA026,-99.3179,29.893206,8/8/2026,37,15.14,12.69,15.9,11.63,14.01,202S,,11.811,
BNDQULA027,QULA027,-99.31764,29.893164,8/8/2026,16,7.4,7.88,7.45,9.28,,278W,,11.811,
BNDQULA028,QULA028,-99.31718,29.893183,8/8/2026,19.5,13.94,14.44,13.19,11.71,14.15,120SE,,11.811,
BNDQULA029,QULA029,-99.31691,29.893254,8/8/2026,34,10.67,7.88,6.42,12.51,15.41,233SW,,11.811,
BNDQULA030,QULA030,-99.31686,29.893331,8/8/2026,42,13.45,9.68,11.82,5.96,13.52,207SW,,11.811,
BNDQULA031,QULA031,-99.31756,29.8916,8/8/2026,17,9.8,10.6,9.5,8.15,8.57,52NE,,11.811,
BNDQULA032,QULA032,-99.31729,29.89176,8/8/2026,39,15.89,14.01,12.23,13.94,14.24,347N,,11.811,
BNDQUSIB014,QUSIB014,-99.31724,29.89064,8/8/2026,12.5,6.92,6.45,6.63,7,,272W,,11.811,
BNDQULA033,QULA033,-99.31754,29.89025,8/8/2026,32,13.6,11.57,16.04,12.46,12,270W,,11.811,
KND10QUFU003,QUFU003,-98.82322,29.90272,5/25/2026,31.5,15.29,16.7,15.04,11.97,10.42,,,11.811,
KND10QUBU2005,QUBU2005,-98.82341,29.90231,5/25/2026,27,4.05,8.27,8.55,3.42,6.51,,,11.811,
KND10QUBU2006,QUBU2006,-98.82365,29.90208,5/25/2026,17,6.68,3.23,2.5,3.87,4.46,,,11.811,
KND10QUFU004,QUFU004,-98.82352,29.90258,5/25/2026,21,19.94,22.9,16.63,12.89,17.08,,,11.811,
KND10QUST001,QUST001,-98.82338,29.90345,5/25/2026,25,16.59,15.14,16.79,13.86,13.85,,,11.811,
KND10QUBU2007,QUBU2007,-98.82332,29.90338,5/25/2026,34.5,22.97,25.45,21.92,14.76,13.69,,,11.811,
KND10QUST003,QUST003,-98.82342,29.90407,5/25/2026,14,9.2,8.85,10.42,6.97,,,,11.811,Bended
KND10QUBU2008,QUBU2008,-98.82416,29.90485,5/25/2026,43.5,21.23,23.47,19.27,15.82,16.93,,,11.811,Big and slanted
KND10QUFU007,QUFU007,-98.82415,29.90483,5/25/2026,40,20.85,19.91,21.76,25.55,21.36,,,11.811,
KND10QUFU010,QUFU010,-98.82363,29.90502,6/9/2026,17,10.12,10.58,5.01,13.83,12.16,20NE,,11.811,
KND10QUFU011,QUFU011,-98.82236,29.90477,6/9/2026,47,18.53,16.21,24.68,23.33,16.76,340N,,11.811,
KND10QUBU2014,QUBU2014,-98.82449,29.90301,6/9/2026,21,9.77,5,4.01,5.9,4.89,13N,Yes,11.811,
KND08QUBU2010,QUBU2010,-98.82433,29.90502,5/25/2026,43.5,19.92,15.56,12.15,18.41,12.78,,,11.811,
KND08QUFU008,QUFU008,-98.82433,29.90502,5/25/2026,76,41.11,24.47,39.54,16.31,29.59,,,11.811,
KND08QUBU2017,QUBU2017,-98.66077,30.01135,6/10/2026,11,3.09,4.37,6.33,5.86,,150SE,,11.811,Forked tree
KND08QUBU2018,QUBU2018,-98.66089,30.01133,6/10/2026,32,11.14,9.7,9.12,11.96,16.78,193S,,11.811,
KND08QUFU017,QUFU017,-98.66037,30.01158,6/10/2026,27,15.3,17.61,14.46,15.8,13.92,318NW,,11.811,
KND08QUBU2020,QUBU2020,-98.65981,30.01299,6/10/2026,39.8,10.15,13.62,14.91,9.42,12.49,136SE,,11.811,
KND08QUBU2021,QUBU2021,-98.65977,30.01305,6/10/2026,43,12.96,10.67,16.38,10.61,11.91,105E,,11.811,
