"TreeID","bark.thicknesses"
"QULA001",8.77512441354809
"QULA001",8.89654094960139
"QULA001",9.13210868524009
"QULA001",9.13004662801901
"QULA001",9.1076804664382
"QULA001",9.10012007690827
"QULA001",9.25145167516734
"QULA001",9.54721424264767
"QULA001",10.0257732855553
"QULA001",10.008946069069
"QULA001",9.92335361032088
"QULA001",10.5388529728722
"QULA001",10.8928503394037
"QULA001",11.7822225107527
"QULA001",12.3975200033168
"QULA001",13.1555121807134
"QULA001",13.2710861329394
"QULA001",13.1850137934546
"QULA001",13.1397543096686
"QULA001",13.5810129309455
"QULA001",14.0197374786911
"QULA001",14.090677427305
"QULA001",13.9788739846952
"QULA001",13.8670705420853
"QULA001",13.8848881058043
"QULA001",14.1555263460122
"QULA001",14.4349085379757
"QULA001",14.3970164727892
"QULA001",14.2599840188796
"QULA001",14.1244873744243
"QULA001",14.0416067482139
"QULA001",14.1392780472473
"QULA001",14.4765518360008
"QULA001",15.3220653882001
"QULA001",15.6679456412214
"QULA001",15.6827892254787
"QULA001",15.5606724335203
"QULA001",15.438555641562
"QULA001",15.292353118822
"QULA001",14.0768741512456
"QULA001",14.6010092958885
"QULA001",14.9966862888951
"QULA001",15.4315241539276
"QULA001",16.2073505067369
"QULA001",16.5934981876235
"QULA001",16.5824911333742
"QULA001",16.524653937826
"QULA001",16.5106734381104
"QULA001",16.5573631516676
"QULA001",16.6869444809293
"QULA001",16.9693538832065
"QULA001",17.3233612776358
"QULA001",17.4150049681639
"QULA001",17.3837651760257
"QULA001",17.331358099872
"QULA001",17.3878462185205
"QULA001",17.7898411499899
"QULA001",18.3022743547036
"QULA001",18.4496238882516
"QULA001",18.5117325944969
"QULA001",18.4820961212224
"QULA001",18.4850138252769
"QULA001",18.6410249340392
"QULA001",19.0624258694337
"QULA001",19.1947960495324
"QULA001",19.240036097968
"QULA001",19.1465577903032
"QULA001",19.0362473320358
"QULA001",18.9092458653168
"QULA001",18.7787540945909
"QULA001",18.6782299682467
"QULA001",18.5726052364772
"QULA001",18.4339049369805
"QULA001",18.5567532368833
"QULA001",18.8258002495199
"QULA001",18.9940261434638
"QULA001",19.0537908519558
"QULA001",19.2847613956007
"QULA001",19.5421662728692
"QULA001",19.7131687592066
"QULA001",19.7906380881805
"QULA001",20.1273703161097
"QULA001",20.4179869104079
"QULA001",20.4427586248654
"QULA001",20.4220972909629
